State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.8099406396913419	0.0446561364781787	0.009231671533066406	0.0	0.08730132363327271	0.0	0.03310073780642604	0.006082199370903242	0.0038289409616431664	6.632279466172521E-4	0.002436746652159231	0.0	3.6481261455929403E-4	9.845279700067236E-4	0.0014090353418255946
2	0.019623974977366274	0.8717615516477832	0.08438041260226024	0.0012151890416888128	0.005954473539166121	0.0028580913530028952	0.011241967677902517	0.0	0.0	0.0	9.307884932572086E-5	0.0	0.002871260311504036	0.0	0.0
3	0.0017565811762800133	0.0334540562483823	0.8377543745828075	0.015582523362875916	0.0385066775983788	0.007328217910375417	0.0	6.461407390648335E-4	0.0	0.027490500105680812	0.004047645924589084	2.8499779861312756E-4	0.0260149210495625	0.0066702432045889545	4.6312029880083425E-4
4	0.0	2.883916553534973E-4	0.016841180393471204	0.9683441547348123	0.0	0.003344448759797943	0.0	0.0	0.0	0.008248892999033699	0.0	1.1292798234487408E-4	0.0011930709898501624	0.0015751006324909564	5.1831852845578845E-5
5	0.03182844192952651	0.0	0.06401157183164367	0.0	0.6917893424641821	0.0012098975831149185	0.009367573009140808	0.004117624795267271	0.003028422187762354	0.002166285743022072	0.09450849079875685	0.002927734375640982	0.0739218044188767	0.011425049619760999	0.009697761243304662
6	0.0	0.0038756446559178605	0.034249950184082716	0.016183256972120415	0.003097755137470432	0.9034690308908896	0.004477145391863989	8.117597856027068E-4	0.023470565757826748	0.00744770656887333	0.0	0.0010433923941469505	0.0	5.169316372672125E-4	0.0013568606239379014
7	0.08556593619143704	0.04688118669423936	0.0	0.0	0.07383065289528952	0.005799731212526055	0.7054517180019834	0.0	0.07826917212274828	0.0	0.003564441238481522	0.0	0.0	6.371616432948235E-4	0.0
8	0.0011734581534278048	4.2672109821320983E-4	2.7983433061398103E-4	2.0539507949275137E-4	0.005312397072210833	0.0	5.870614349316837E-5	0.9819341793382463	0.008719616452858785	5.719768256237494E-5	8.194721758991806E-6	0.0	0.0011013122881884045	7.220391019809726E-4	9.485369524077367E-7
9	8.613177805311075E-4	3.696006500167103E-5	2.758709706994221E-4	0.0	0.0013913128510207942	0.006988758816217359	0.00691644450770674	0.006241158915042732	0.9764668838456351	0.0	1.4269611887542366E-4	0.0	6.785961292698336E-4	0.0	0.0
10	0.0	0.002292593514824686	0.21107405819285227	0.0549532617357085	0.00771664124198348	0.01732943467440992	0.0	0.0	0.0	0.6146383763816591	0.022952269870955038	0.01944784690929373	0.02209078225662921	0.005854979169721335	0.021649756051962836
11	0.0033532119876824515	0.001437748402124864	0.03481094388910238	0.0	0.2969569446080618	0.0	0.0	0.0031914183382525693	0.0	0.019685681055769545	0.45060527583686844	0.014226209394614726	0.08237701979419415	0.00661348554205271	0.08674206115127628
12	0.0	0.006977821875270823	0.005792403480433356	0.007017836766784308	0.046475035703780775	0.017347750033730572	0.0	0.002880336659573792	0.0	0.031001773758051427	0.06134388153322171	0.36090045013816663	0.26231751045381035	0.039054386435075174	0.15889081316210116
13	0.0023293941976656814	0.002411847281135928	0.11149019649789639	0.005533327522354293	0.1815877593392007	0.0	0.0	0.002819092905551692	0.0022394751991046784	0.011763549876597931	0.052925229649288634	0.034486509942698855	0.5126052228714356	0.05084923267025644	0.028959162046813133
14	0.0	0.010160593752702313	0.18072825881572308	0.03763538496656485	0.2257597669799242	0.012270204483422576	0.0	0.006670761153743546	0.00202215811256621	0.042154976757358194	0.028821210740941777	0.027703181568771575	0.38175200768836764	0.03130022068886329	0.013021274291050804
15	0.001045079978850798	0.0	1.832984552885235E-7	9.616981026805016E-4	0.17061567798601612	0.006412654097116517	0.0	8.286690317279706E-4	0.0	0.06293062948966965	0.2705447086368132	0.11659958875097014	0.12542867990532092	0.00693011422746844	0.2377023164949106
