15	10	E	-148816.40065785477	117
transitionprobs	11	4	0.0
transitionprobs	11	5	0.2969569446080618
transitionprobs	11	6	0.0
transitionprobs	11	7	0.0
transitionprobs	11	8	0.0031914183382525693
transitionprobs	11	9	0.0
transitionprobs	11	10	0.019685681055769545
transitionprobs	11	11	0.45060527583686844
transitionprobs	11	12	0.014226209394614726
transitionprobs	11	13	0.08237701979419415
transitionprobs	11	14	0.00661348554205271
transitionprobs	11	15	0.08674206115127628
transitionprobs	12	1	0.0
transitionprobs	12	2	0.006977821875270823
transitionprobs	12	3	0.005792403480433356
transitionprobs	12	4	0.007017836766784308
transitionprobs	12	5	0.046475035703780775
transitionprobs	12	6	0.017347750033730572
transitionprobs	12	7	0.0
transitionprobs	12	8	0.002880336659573792
transitionprobs	12	9	0.0
transitionprobs	12	10	0.031001773758051427
transitionprobs	12	11	0.06134388153322171
transitionprobs	12	12	0.36090045013816663
transitionprobs	12	13	0.26231751045381035
transitionprobs	12	14	0.039054386435075174
transitionprobs	12	15	0.15889081316210116
transitionprobs	13	1	0.0023293941976656814
transitionprobs	13	2	0.002411847281135928
transitionprobs	13	3	0.11149019649789639
transitionprobs	13	4	0.005533327522354293
transitionprobs	13	5	0.1815877593392007
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	0.002819092905551692
transitionprobs	13	9	0.0022394751991046784
transitionprobs	13	10	0.011763549876597931
transitionprobs	13	11	0.052925229649288634
transitionprobs	13	12	0.034486509942698855
transitionprobs	13	13	0.5126052228714356
transitionprobs	13	14	0.05084923267025644
transitionprobs	13	15	0.028959162046813133
transitionprobs	14	1	0.0
transitionprobs	14	2	0.010160593752702313
transitionprobs	14	3	0.18072825881572308
transitionprobs	14	4	0.03763538496656485
transitionprobs	14	5	0.2257597669799242
transitionprobs	14	6	0.012270204483422576
transitionprobs	14	7	0.0
transitionprobs	14	8	0.006670761153743546
transitionprobs	14	9	0.00202215811256621
transitionprobs	14	10	0.042154976757358194
transitionprobs	14	11	0.028821210740941777
transitionprobs	14	12	0.027703181568771575
transitionprobs	14	13	0.38175200768836764
transitionprobs	14	14	0.03130022068886329
transitionprobs	14	15	0.013021274291050804
transitionprobs	15	1	0.001045079978850798
transitionprobs	15	2	0.0
transitionprobs	15	3	1.832984552885235E-7
transitionprobs	15	4	9.616981026805016E-4
transitionprobs	15	5	0.17061567798601612
transitionprobs	15	6	0.006412654097116517
transitionprobs	15	7	0.0
transitionprobs	15	8	8.286690317279706E-4
transitionprobs	15	9	0.0
transitionprobs	15	10	0.06293062948966965
transitionprobs	15	11	0.2705447086368132
transitionprobs	15	12	0.11659958875097014
transitionprobs	15	13	0.12542867990532092
transitionprobs	15	14	0.00693011422746844
transitionprobs	15	15	0.2377023164949106
emissionprobs	1	0	H3K27ac	0	1.0
emissionprobs	1	0	H3K27ac	1	0.0
emissionprobs	1	1	H3K27me3	0	0.16079414916138157
emissionprobs	1	1	H3K27me3	1	0.8392058508386183
emissionprobs	1	2	H3K36me3	0	1.0
emissionprobs	1	2	H3K36me3	1	1.131868479345823E-79
emissionprobs	1	3	H3K4me1	0	0.9922079253529553
emissionprobs	1	3	H3K4me1	1	0.0077920746470446604
emissionprobs	1	4	H3K4me2	0	0.9989194951538728
emissionprobs	1	4	H3K4me2	1	0.0010805048461270924
emissionprobs	1	5	H3K4me3	0	1.0
emissionprobs	1	5	H3K4me3	1	0.0
emissionprobs	1	6	H3K79me2	0	1.0
emissionprobs	1	6	H3K79me2	1	1.1391123731489923E-240
emissionprobs	1	7	H3K9ac	0	1.0
emissionprobs	1	7	H3K9ac	1	3.738876247001898E-159
emissionprobs	1	8	H3K9me2	0	0.8039572800443396
emissionprobs	1	8	H3K9me2	1	0.19604271995566044
emissionprobs	1	9	H3K9me3	0	0.9517235084609288
emissionprobs	1	9	H3K9me3	1	0.04827649153907129
emissionprobs	2	0	H3K27ac	0	1.0
emissionprobs	2	0	H3K27ac	1	0.0
emissionprobs	2	1	H3K27me3	0	0.16612308562592515
emissionprobs	2	1	H3K27me3	1	0.833876914374075
emissionprobs	2	2	H3K36me3	0	1.0
emissionprobs	2	2	H3K36me3	1	5.848735668154461E-68
emissionprobs	2	3	H3K4me1	0	0.9997801342016053
emissionprobs	2	3	H3K4me1	1	2.1986579839469852E-4
emissionprobs	2	4	H3K4me2	0	0.999048004947217
emissionprobs	2	4	H3K4me2	1	9.51995052783075E-4
emissionprobs	2	5	H3K4me3	0	1.0
emissionprobs	2	5	H3K4me3	1	6.512769728821342E-246
emissionprobs	2	6	H3K79me2	0	1.0
emissionprobs	2	6	H3K79me2	1	1.1369773872862116E-307
emissionprobs	2	7	H3K9ac	0	1.0
emissionprobs	2	7	H3K9ac	1	2.5146E-319
emissionprobs	2	8	H3K9me2	0	0.14344173513145492
emissionprobs	2	8	H3K9me2	1	0.856558264868545
emissionprobs	2	9	H3K9me3	0	0.9507792614275036
emissionprobs	2	9	H3K9me3	1	0.049220738572496384
emissionprobs	3	0	H3K27ac	0	1.0
emissionprobs	3	0	H3K27ac	1	0.0
emissionprobs	3	1	H3K27me3	0	0.984755020229752
emissionprobs	3	1	H3K27me3	1	0.015244979770247918
emissionprobs	3	2	H3K36me3	0	0.9777941159922119
emissionprobs	3	2	H3K36me3	1	0.022205884007788078
emissionprobs	3	3	H3K4me1	0	0.980074668570081
emissionprobs	3	3	H3K4me1	1	0.01992533142991901
emissionprobs	3	4	H3K4me2	0	0.9935086985300867
emissionprobs	3	4	H3K4me2	1	0.006491301469913192
emissionprobs	3	5	H3K4me3	0	0.9999282480211107
emissionprobs	3	5	H3K4me3	1	7.175197888935468E-5
emissionprobs	3	6	H3K79me2	0	0.9948861014309826
emissionprobs	3	6	H3K79me2	1	0.005113898569017477
emissionprobs	3	7	H3K9ac	0	0.9999813696026062
emissionprobs	3	7	H3K9ac	1	1.8630397393926566E-5
emissionprobs	3	8	H3K9me2	0	0.13348332734376425
emissionprobs	3	8	H3K9me2	1	0.8665166726562358
emissionprobs	3	9	H3K9me3	0	0.886768822412219
emissionprobs	3	9	H3K9me3	1	0.11323117758778099
emissionprobs	4	0	H3K27ac	0	1.0
emissionprobs	4	0	H3K27ac	1	0.0
emissionprobs	4	1	H3K27me3	0	0.9986012514291479
emissionprobs	4	1	H3K27me3	1	0.0013987485708519653
emissionprobs	4	2	H3K36me3	0	0.998287415138757
emissionprobs	4	2	H3K36me3	1	0.0017125848612431112
emissionprobs	4	3	H3K4me1	0	0.992644347518557
emissionprobs	4	3	H3K4me1	1	0.007355652481442981
emissionprobs	4	4	H3K4me2	0	0.9975239135303934
emissionprobs	4	4	H3K4me2	1	0.0024760864696066393
emissionprobs	4	5	H3K4me3	0	0.9999447776191449
emissionprobs	4	5	H3K4me3	1	5.5222380855185016E-5
emissionprobs	4	6	H3K79me2	0	0.9998244781999092
emissionprobs	4	6	H3K79me2	1	1.7552180009076332E-4
emissionprobs	4	7	H3K9ac	0	1.0
emissionprobs	4	7	H3K9ac	1	3.0213017720141242E-139
emissionprobs	4	8	H3K9me2	0	0.01425188602919695
emissionprobs	4	8	H3K9me2	1	0.985748113970803
emissionprobs	4	9	H3K9me3	0	0.8395083476490997
emissionprobs	4	9	H3K9me3	1	0.16049165235090035
emissionprobs	5	0	H3K27ac	0	1.0
emissionprobs	5	0	H3K27ac	1	0.0
emissionprobs	5	1	H3K27me3	0	0.9859666383534955
emissionprobs	5	1	H3K27me3	1	0.01403336164650446
emissionprobs	5	2	H3K36me3	0	0.9949806935097163
emissionprobs	5	2	H3K36me3	1	0.005019306490283754
emissionprobs	5	3	H3K4me1	0	0.9759004460765347
emissionprobs	5	3	H3K4me1	1	0.02409955392346536
emissionprobs	5	4	H3K4me2	0	0.9899865287474403
emissionprobs	5	4	H3K4me2	1	0.010013471252559681
emissionprobs	5	5	H3K4me3	0	1.0
emissionprobs	5	5	H3K4me3	1	1.5696822150185153E-35
emissionprobs	5	6	H3K79me2	0	0.9999969063407179
emissionprobs	5	6	H3K79me2	1	3.093659282107676E-6
emissionprobs	5	7	H3K9ac	0	0.9997608934805361
emissionprobs	5	7	H3K9ac	1	2.391065194639398E-4
emissionprobs	5	8	H3K9me2	0	0.9067254571888774
emissionprobs	5	8	H3K9me2	1	0.0932745428111226
emissionprobs	5	9	H3K9me3	0	0.9375111815936347
emissionprobs	5	9	H3K9me3	1	0.06248881840636533
emissionprobs	6	0	H3K27ac	0	1.0
emissionprobs	6	0	H3K27ac	1	0.0
emissionprobs	6	1	H3K27me3	0	0.9976738783783581
emissionprobs	6	1	H3K27me3	1	0.002326121621641976
emissionprobs	6	2	H3K36me3	0	0.9949278237783613
emissionprobs	6	2	H3K36me3	1	0.0050721762216386695
emissionprobs	6	3	H3K4me1	0	0.984013874663185
emissionprobs	6	3	H3K4me1	1	0.015986125336814982
emissionprobs	6	4	H3K4me2	0	0.9998768915247922
emissionprobs	6	4	H3K4me2	1	1.2310847520792306E-4
emissionprobs	6	5	H3K4me3	0	1.0
emissionprobs	6	5	H3K4me3	1	1.9153263101267105E-279
emissionprobs	6	6	H3K79me2	0	1.0
emissionprobs	6	6	H3K79me2	1	1.7690481244278614E-231
emissionprobs	6	7	H3K9ac	0	1.0
emissionprobs	6	7	H3K9ac	1	3.815297367727278E-198
emissionprobs	6	8	H3K9me2	0	0.184996899563869
emissionprobs	6	8	H3K9me2	1	0.815003100436131
emissionprobs	6	9	H3K9me3	0	0.018127846016334572
emissionprobs	6	9	H3K9me3	1	0.9818721539836655
emissionprobs	7	0	H3K27ac	0	1.0
emissionprobs	7	0	H3K27ac	1	0.0
emissionprobs	7	1	H3K27me3	0	0.7028273171683899
emissionprobs	7	1	H3K27me3	1	0.29717268283161
emissionprobs	7	2	H3K36me3	0	0.9951219275213766
emissionprobs	7	2	H3K36me3	1	0.004878072478623466
emissionprobs	7	3	H3K4me1	0	0.9971145679115184
emissionprobs	7	3	H3K4me1	1	0.002885432088481557
emissionprobs	7	4	H3K4me2	0	1.0
emissionprobs	7	4	H3K4me2	1	1.074262041100648E-48
emissionprobs	7	5	H3K4me3	0	1.0
emissionprobs	7	5	H3K4me3	1	9.155960775489E-311
emissionprobs	7	6	H3K79me2	0	1.0
emissionprobs	7	6	H3K79me2	1	4.16451739924163E-152
emissionprobs	7	7	H3K9ac	0	1.0
emissionprobs	7	7	H3K9ac	1	0.0
emissionprobs	7	8	H3K9me2	0	0.4463813635778092
emissionprobs	7	8	H3K9me2	1	0.5536186364221908
emissionprobs	7	9	H3K9me3	0	0.11613008174443859
emissionprobs	7	9	H3K9me3	1	0.8838699182555614
emissionprobs	8	0	H3K27ac	0	1.0
emissionprobs	8	0	H3K27ac	1	0.0
emissionprobs	8	1	H3K27me3	0	0.997251488846118
emissionprobs	8	1	H3K27me3	1	0.00274851115388195
emissionprobs	8	2	H3K36me3	0	0.9988371157329154
emissionprobs	8	2	H3K36me3	1	0.0011628842670846596
emissionprobs	8	3	H3K4me1	0	0.9979203479613101
emissionprobs	8	3	H3K4me1	1	0.0020796520386898868
emissionprobs	8	4	H3K4me2	0	0.9999319822877843
emissionprobs	8	4	H3K4me2	1	6.801771221557904E-5
emissionprobs	8	5	H3K4me3	0	1.0
emissionprobs	8	5	H3K4me3	1	9.066727E-317
emissionprobs	8	6	H3K79me2	0	0.9995843560455979
emissionprobs	8	6	H3K79me2	1	4.1564395440202637E-4
emissionprobs	8	7	H3K9ac	0	1.0
emissionprobs	8	7	H3K9ac	1	1.2427666407098237E-160
emissionprobs	8	8	H3K9me2	0	0.9972924550384378
emissionprobs	8	8	H3K9me2	1	0.0027075449615621893
emissionprobs	8	9	H3K9me3	0	0.9951896425207631
emissionprobs	8	9	H3K9me3	1	0.004810357479236879
emissionprobs	9	0	H3K27ac	0	1.0
emissionprobs	9	0	H3K27ac	1	0.0
emissionprobs	9	1	H3K27me3	0	0.9998329997192514
emissionprobs	9	1	H3K27me3	1	1.6700028074849256E-4
emissionprobs	9	2	H3K36me3	0	0.996983890250611
emissionprobs	9	2	H3K36me3	1	0.0030161097493890073
emissionprobs	9	3	H3K4me1	0	0.9998762811290808
emissionprobs	9	3	H3K4me1	1	1.237188709192796E-4
emissionprobs	9	4	H3K4me2	0	1.0
emissionprobs	9	4	H3K4me2	1	1.3001806408155163E-185
emissionprobs	9	5	H3K4me3	0	0.9998935838122825
emissionprobs	9	5	H3K4me3	1	1.064161877174738E-4
emissionprobs	9	6	H3K79me2	0	1.0
emissionprobs	9	6	H3K79me2	1	2.1369021224899107E-204
emissionprobs	9	7	H3K9ac	0	1.0
emissionprobs	9	7	H3K9ac	1	0.0
emissionprobs	9	8	H3K9me2	0	0.9954700759611539
emissionprobs	9	8	H3K9me2	1	0.004529924038846203
emissionprobs	9	9	H3K9me3	0	0.004480787989771999
emissionprobs	9	9	H3K9me3	1	0.995519212010228
emissionprobs	10	0	H3K27ac	0	0.9996079501670018
emissionprobs	10	0	H3K27ac	1	3.920498329981958E-4
emissionprobs	10	1	H3K27me3	0	0.9995339860414311
emissionprobs	10	1	H3K27me3	1	4.660139585690251E-4
emissionprobs	10	2	H3K36me3	0	0.9675559716659423
emissionprobs	10	2	H3K36me3	1	0.03244402833405773
emissionprobs	10	3	H3K4me1	0	0.33219014198804625
emissionprobs	10	3	H3K4me1	1	0.6678098580119538
emissionprobs	10	4	H3K4me2	0	0.8592179704184727
emissionprobs	10	4	H3K4me2	1	0.14078202958152727
emissionprobs	10	5	H3K4me3	0	0.9974100363092446
emissionprobs	10	5	H3K4me3	1	0.0025899636907553572
emissionprobs	10	6	H3K79me2	0	0.9669107514895305
emissionprobs	10	6	H3K79me2	1	0.03308924851046948
emissionprobs	10	7	H3K9ac	0	0.9918604923355493
emissionprobs	10	7	H3K9ac	1	0.008139507664450762
emissionprobs	10	8	H3K9me2	0	0.13669262438110932
emissionprobs	10	8	H3K9me2	1	0.8633073756188907
emissionprobs	10	9	H3K9me3	0	0.7944499162139467
emissionprobs	10	9	H3K9me3	1	0.2055500837860532
emissionprobs	11	0	H3K27ac	0	1.0
emissionprobs	11	0	H3K27ac	1	2.389366616941187E-44
emissionprobs	11	1	H3K27me3	0	0.9956432019798368
emissionprobs	11	1	H3K27me3	1	0.004356798020163196
emissionprobs	11	2	H3K36me3	0	0.947282467510331
emissionprobs	11	2	H3K36me3	1	0.05271753248966901
emissionprobs	11	3	H3K4me1	0	0.1420831923081487
emissionprobs	11	3	H3K4me1	1	0.8579168076918513
emissionprobs	11	4	H3K4me2	0	0.6793417631023541
emissionprobs	11	4	H3K4me2	1	0.3206582368976459
emissionprobs	11	5	H3K4me3	0	1.0
emissionprobs	11	5	H3K4me3	1	9.083304660852668E-28
emissionprobs	11	6	H3K79me2	0	0.9917331614592032
emissionprobs	11	6	H3K79me2	1	0.008266838540796803
emissionprobs	11	7	H3K9ac	0	0.9975554782190339
emissionprobs	11	7	H3K9ac	1	0.002444521780966019
emissionprobs	11	8	H3K9me2	0	0.965737851808514
emissionprobs	11	8	H3K9me2	1	0.034262148191486014
emissionprobs	11	9	H3K9me3	0	0.9550765162296785
emissionprobs	11	9	H3K9me3	1	0.04492348377032156
emissionprobs	12	0	H3K27ac	0	0.9979825683972343
emissionprobs	12	0	H3K27ac	1	0.0020174316027656396
emissionprobs	12	1	H3K27me3	0	1.0
emissionprobs	12	1	H3K27me3	1	2.0305196337014267E-215
emissionprobs	12	2	H3K36me3	0	0.3992600488167261
emissionprobs	12	2	H3K36me3	1	0.6007399511832738
emissionprobs	12	3	H3K4me1	0	0.11265718808143359
emissionprobs	12	3	H3K4me1	1	0.8873428119185663
emissionprobs	12	4	H3K4me2	0	0.7540899542698551
emissionprobs	12	4	H3K4me2	1	0.2459100457301449
emissionprobs	12	5	H3K4me3	0	1.0
emissionprobs	12	5	H3K4me3	1	3.690362604227183E-97
emissionprobs	12	6	H3K79me2	0	0.5531440706679112
emissionprobs	12	6	H3K79me2	1	0.4468559293320889
emissionprobs	12	7	H3K9ac	0	0.9828135971470321
emissionprobs	12	7	H3K9ac	1	0.017186402852967794
emissionprobs	12	8	H3K9me2	0	0.8978679197726053
emissionprobs	12	8	H3K9me2	1	0.10213208022739477
emissionprobs	12	9	H3K9me3	0	0.9444837666140449
emissionprobs	12	9	H3K9me3	1	0.05551623338595516
emissionprobs	13	0	H3K27ac	0	1.0
emissionprobs	13	0	H3K27ac	1	0.0
emissionprobs	13	1	H3K27me3	0	1.0
emissionprobs	13	1	H3K27me3	1	2.9358374327273634E-99
emissionprobs	13	2	H3K36me3	0	0.22608865779486534
emissionprobs	13	2	H3K36me3	1	0.7739113422051347
emissionprobs	13	3	H3K4me1	0	0.9954980272311024
emissionprobs	13	3	H3K4me1	1	0.004501972768897666
emissionprobs	13	4	H3K4me2	0	0.9895632750492811
emissionprobs	13	4	H3K4me2	1	0.010436724950718991
emissionprobs	13	5	H3K4me3	0	0.9948727551169287
emissionprobs	13	5	H3K4me3	1	0.005127244883071175
emissionprobs	13	6	H3K79me2	0	0.904143654703384
emissionprobs	13	6	H3K79me2	1	0.09585634529661598
emissionprobs	13	7	H3K9ac	0	0.9935408198095698
emissionprobs	13	7	H3K9ac	1	0.006459180190430149
emissionprobs	13	8	H3K9me2	0	0.9146095208117473
emissionprobs	13	8	H3K9me2	1	0.08539047918825278
emissionprobs	13	9	H3K9me3	0	0.9594291582500575
emissionprobs	13	9	H3K9me3	1	0.04057084174994263
