15	12	E	-364828.3371283338	149
transitionprobs	11	1	5.378236273766857E-4
transitionprobs	11	2	1.5024771754591288E-4
transitionprobs	11	3	0.0012550624239054053
transitionprobs	11	4	0.011452935119439227
transitionprobs	11	5	0.006650719038415985
transitionprobs	11	6	7.24002416032117E-4
transitionprobs	11	7	0.07263116520397726
transitionprobs	11	8	0.006998746369722097
transitionprobs	11	9	0.04363120418534163
transitionprobs	11	10	0.31229575402343174
transitionprobs	11	11	0.3053485529534481
transitionprobs	11	12	0.08332353167476836
transitionprobs	11	13	0.05273938121736591
transitionprobs	11	14	0.008491099575689921
transitionprobs	11	15	0.09376977445353957
transitionprobs	12	1	9.842356401957996E-4
transitionprobs	12	2	0.008364652572425853
transitionprobs	12	3	0.028102966008511174
transitionprobs	12	4	0.0223988759363548
transitionprobs	12	5	2.9717603000513956E-4
transitionprobs	12	6	0.001061266514021615
transitionprobs	12	7	0.017762251583835667
transitionprobs	12	8	0.0
transitionprobs	12	9	0.004209274747786322
transitionprobs	12	10	0.0629189321425812
transitionprobs	12	11	0.13534604857721033
transitionprobs	12	12	0.3688569964514286
transitionprobs	12	13	0.02091405978464144
transitionprobs	12	14	3.0000126372883927E-4
transitionprobs	12	15	0.32848326274727346
transitionprobs	13	1	5.828621983768484E-5
transitionprobs	13	2	3.3566903088030697E-4
transitionprobs	13	3	4.2946307652615417E-4
transitionprobs	13	4	0.06980874740443638
transitionprobs	13	5	0.034371339919958645
transitionprobs	13	6	0.008349578177498046
transitionprobs	13	7	0.33211604376573023
transitionprobs	13	8	0.08692515058690517
transitionprobs	13	9	0.04893795032783627
transitionprobs	13	10	0.018153003550862346
transitionprobs	13	11	0.07673307830883641
transitionprobs	13	12	0.018135312247276617
transitionprobs	13	13	0.24268630421848433
transitionprobs	13	14	0.02201969412940513
transitionprobs	13	15	0.040940379035526234
transitionprobs	14	1	0.0
transitionprobs	14	2	0.0016275959500221364
transitionprobs	14	3	0.004119447418013224
transitionprobs	14	4	0.0
transitionprobs	14	5	0.002089995821169988
transitionprobs	14	6	0.15625958985306573
transitionprobs	14	7	0.0326543138278621
transitionprobs	14	8	0.04061489619325646
transitionprobs	14	9	0.03699632318303194
transitionprobs	14	10	0.03887628635502353
transitionprobs	14	11	0.018826579254884145
transitionprobs	14	12	0.0013073906866090698
transitionprobs	14	13	0.03511704601102107
transitionprobs	14	14	0.6296498212230325
transitionprobs	14	15	0.0018607142230080717
transitionprobs	15	1	0.001527322734680751
transitionprobs	15	2	0.0012518599947512674
transitionprobs	15	3	0.024069840992523593
transitionprobs	15	4	0.045991748508039304
transitionprobs	15	5	0.0
transitionprobs	15	6	0.0
transitionprobs	15	7	0.03328949761031363
transitionprobs	15	8	0.0
transitionprobs	15	9	0.022729320995016046
transitionprobs	15	10	0.053647450727929494
transitionprobs	15	11	0.08616415966887911
transitionprobs	15	12	0.22361952101995242
transitionprobs	15	13	0.030392092477370947
transitionprobs	15	14	2.976481796077542E-4
transitionprobs	15	15	0.4770195370909357
emissionprobs	1	0	H2AFZ	0	0.4717979210084599
emissionprobs	1	0	H2AFZ	1	0.52820207899154
emissionprobs	1	1	H3K27ac	0	0.9954160141086984
emissionprobs	1	1	H3K27ac	1	0.00458398589130159
emissionprobs	1	2	H3K27me3	0	0.981241706773367
emissionprobs	1	2	H3K27me3	1	0.018758293226633103
emissionprobs	1	3	H3K36me3	0	0.9923863256257734
emissionprobs	1	3	H3K36me3	1	0.007613674374226567
emissionprobs	1	4	H3K4me1	0	0.9825140114375901
emissionprobs	1	4	H3K4me1	1	0.017485988562410033
emissionprobs	1	5	H3K4me2	0	0.9912899798050683
emissionprobs	1	5	H3K4me2	1	0.008710020194931785
emissionprobs	1	6	H3K4me3	0	0.9970830040959957
emissionprobs	1	6	H3K4me3	1	0.0029169959040041744
emissionprobs	1	7	H3K79me2	0	1.0
emissionprobs	1	7	H3K79me2	1	0.0
emissionprobs	1	8	H3K9ac	0	1.0
emissionprobs	1	8	H3K9ac	1	2.649566922603369E-202
emissionprobs	1	9	H3K9me2	0	0.4923627073213061
emissionprobs	1	9	H3K9me2	1	0.5076372926786938
emissionprobs	1	10	H3K9me3	0	0.024771777809905027
emissionprobs	1	10	H3K9me3	1	0.975228222190095
emissionprobs	1	11	H4K20me1	0	0.9855408092424557
emissionprobs	1	11	H4K20me1	1	0.014459190757544226
emissionprobs	2	0	H2AFZ	0	0.9993812625925953
emissionprobs	2	0	H2AFZ	1	6.187374074046302E-4
emissionprobs	2	1	H3K27ac	0	0.9998634414236856
emissionprobs	2	1	H3K27ac	1	1.3655857631431458E-4
emissionprobs	2	2	H3K27me3	0	0.9676367886410864
emissionprobs	2	2	H3K27me3	1	0.03236321135891363
emissionprobs	2	3	H3K36me3	0	0.9727074503872161
emissionprobs	2	3	H3K36me3	1	0.027292549612783806
emissionprobs	2	4	H3K4me1	0	0.9998924977009791
emissionprobs	2	4	H3K4me1	1	1.0750229902089783E-4
emissionprobs	2	5	H3K4me2	0	0.99940389554445
emissionprobs	2	5	H3K4me2	1	5.961044555500404E-4
emissionprobs	2	6	H3K4me3	0	0.9835695409178759
emissionprobs	2	6	H3K4me3	1	0.016430459082124226
emissionprobs	2	7	H3K79me2	0	0.9996752056593807
emissionprobs	2	7	H3K79me2	1	3.247943406193211E-4
emissionprobs	2	8	H3K9ac	0	1.0
