State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9569412180319001	0.010396433024593673	0.0011185417204263265	1.7667581483621732E-4	0.0013809351047483157	0.00734552429618591	0.008198889432223154	0.0034132231718316205	0.0012355827440754402	0.0	0.0018133241655131378	0.0010131431200791487	0.001106896793700878	0.0	0.005859612579886156
2	0.001648660419872198	0.971859740552098	0.009097800165404095	0.011420863531103354	0.0	0.0	0.0	0.0	0.0021387101148461606	0.0	0.0	0.0026065274728054063	8.577446902959741E-5	4.3217010180217385E-4	7.097531730391769E-4
3	2.3291949871837646E-4	0.00939805660978477	0.9634739794486417	0.005245509627288838	3.310414252975723E-4	3.436096894227832E-5	9.003819158158179E-4	8.095775382136631E-4	5.780054293427617E-4	2.1290751275447096E-4	3.155214424583254E-4	0.008470074379289315	2.8262036006907235E-4	3.6419530123606213E-4	0.00935084854214681
4	4.8767811645587827E-4	0.015986622058900123	0.007192087161581514	0.8198851421588902	0.05834829587862183	7.304017111329737E-4	0.01450680241579455	0.0	0.00419053230120058	0.004651440501569996	0.007560674886181828	0.00991747129933919	0.031405558603850484	1.2286932119306797E-4	0.025014423585287843
5	2.0564746054999828E-4	1.3552730375852783E-4	2.9391407580855506E-4	0.09046427580742493	0.8127709359139765	0.009493194865433475	0.03663497556644064	0.0	0.009263921361318832	0.0033383963242262387	0.007825712461281617	1.2189454644772493E-4	0.028224649843554505	0.0	0.00122695446977844
6	0.005301883421893645	0.0	0.0	0.0026409124430393717	0.024758634750175864	0.7229558689471187	6.365041891184426E-4	0.015610336402043496	0.005009948527444164	0.002098879671877305	0.0014646868364860876	0.0	0.02467064144849691	0.1940169441244891	8.34759237816818E-4
7	0.0012200924421693624	0.0	0.0024224638464644898	0.01758919564374649	0.028088124998188673	0.002040691333817246	0.6445117267445537	0.013247055387345644	0.012698932544492168	0.008272349269871112	0.05308953003568532	0.007962783396769845	0.18004524179177456	0.010599112016608687	0.01821270054851253
8	4.770400754149018E-4	0.0	0.0012492645053702092	0.0	0.0	0.003995506208191818	0.012001411842372038	0.9180407930484762	0.006272391810984264	9.500648160833987E-4	0.005732986997675319	0.0	0.04287365412963529	0.008406886565796695	0.0
9	3.65405042169323E-4	0.006218666144052692	9.250222317668048E-4	0.005379020372041849	0.01303580490239834	0.0014802089705860584	0.029932026893007398	0.009643578138090482	0.7103966441195357	0.0600044874240698	0.06519918049123145	0.004608795833592826	0.040472152387659076	0.021821318064808682	0.03051768898498945
10	0.0	0.0	6.174254345820181E-4	0.006245336547244637	0.0022296083374850066	0.0011597623098485092	0.01501575096489483	0.0025147455947093244	0.05368981314289459	0.4979277135277492	0.2965734653855591	0.04332753626982998	0.013519803553259078	0.010409604107822643	0.05676943482412097
11	5.378236273766857E-4	1.5024771754591288E-4	0.0012550624239054053	0.011452935119439227	0.006650719038415985	7.24002416032117E-4	0.07263116520397726	0.006998746369722097	0.04363120418534163	0.31229575402343174	0.3053485529534481	0.08332353167476836	0.05273938121736591	0.008491099575689921	0.09376977445353957
12	9.842356401957996E-4	0.008364652572425853	0.028102966008511174	0.0223988759363548	2.9717603000513956E-4	0.001061266514021615	0.017762251583835667	0.0	0.004209274747786322	0.0629189321425812	0.13534604857721033	0.3688569964514286	0.02091405978464144	3.0000126372883927E-4	0.32848326274727346
13	5.828621983768484E-5	3.3566903088030697E-4	4.2946307652615417E-4	0.06980874740443638	0.034371339919958645	0.008349578177498046	0.33211604376573023	0.08692515058690517	0.04893795032783627	0.018153003550862346	0.07673307830883641	0.018135312247276617	0.24268630421848433	0.02201969412940513	0.040940379035526234
14	0.0	0.0016275959500221364	0.004119447418013224	0.0	0.002089995821169988	0.15625958985306573	0.0326543138278621	0.04061489619325646	0.03699632318303194	0.03887628635502353	0.018826579254884145	0.0013073906866090698	0.03511704601102107	0.6296498212230325	0.0018607142230080717
15	0.001527322734680751	0.0012518599947512674	0.024069840992523593	0.045991748508039304	0.0	0.0	0.03328949761031363	0.0	0.022729320995016046	0.053647450727929494	0.08616415966887911	0.22361952101995242	0.030392092477370947	2.976481796077542E-4	0.4770195370909357
