15	12	E	-5514212.082796044	152
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
probinit	14	1.0
probinit	15	0.0
transitionprobs	11	1	1.9066268157488748E-5
transitionprobs	11	2	9.740097062089618E-5
transitionprobs	11	3	5.011718377064402E-5
transitionprobs	11	4	6.926286938397238E-5
transitionprobs	11	5	1.1088827808369658E-5
transitionprobs	11	6	0.0016203099771776005
transitionprobs	11	7	0.0052292172445237905
transitionprobs	11	8	7.850012084663954E-4
transitionprobs	11	9	0.003277186693108644
transitionprobs	11	10	0.019497994982012334
transitionprobs	11	11	0.8742707673187925
transitionprobs	11	12	9.262699281796079E-4
transitionprobs	11	13	3.874440379710608E-5
transitionprobs	11	14	0.0941075721242006
transitionprobs	11	15	0.0
transitionprobs	12	1	0.0
transitionprobs	12	2	7.3000718592577296E-6
transitionprobs	12	3	0.0
transitionprobs	12	4	5.7617348135539284E-5
transitionprobs	12	5	1.655534956960409E-5
transitionprobs	12	6	2.0855264848448636E-4
transitionprobs	12	7	7.006427584704208E-5
transitionprobs	12	8	0.0
transitionprobs	12	9	1.0600192949526342E-4
transitionprobs	12	10	0.0
transitionprobs	12	11	5.194925720011216E-4
transitionprobs	12	12	0.8010953134727241
transitionprobs	12	13	7.076391420689232E-5
transitionprobs	12	14	0.19781068263719667
transitionprobs	12	15	3.765578048004319E-5
transitionprobs	13	1	0.0
transitionprobs	13	2	1.8507275394596696E-4
transitionprobs	13	3	3.1278623534868397E-4
transitionprobs	13	4	0.00988688165247577
transitionprobs	13	5	0.044042780417263214
transitionprobs	13	6	0.0015440530168679902
transitionprobs	13	7	1.5699439538806353E-4
transitionprobs	13	8	9.553589240107807E-6
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	2.0385773278422148E-4
transitionprobs	13	12	3.2131789327144385E-4
transitionprobs	13	13	0.7153450742451654
transitionprobs	13	14	0.22781363494100526
transitionprobs	13	15	1.7799312724412904E-4
transitionprobs	14	1	3.831192080199788E-6
transitionprobs	14	2	1.7412940497974807E-5
transitionprobs	14	3	6.862220703473259E-5
transitionprobs	14	4	4.990148867951205E-4
transitionprobs	14	5	3.3087937221410623E-4
transitionprobs	14	6	0.003676882278191859
transitionprobs	14	7	1.624932380941801E-4
transitionprobs	14	8	3.831297282418497E-5
transitionprobs	14	9	0.0012709306293391342
transitionprobs	14	10	5.355788587242067E-5
transitionprobs	14	11	0.0018336058828493295
transitionprobs	14	12	0.006911136548840949
transitionprobs	14	13	0.0018681172838424336
transitionprobs	14	14	0.9788164808470092
